month,rf,UMD,MKT,SMB,HML,RMW,CMA
1994-01,0.008719,0.115602,-0.091552,0.08746,0.068702,-0.020783,0.004388
1994-02,0.008719,0.024992,-0.00043,-0.009823,-0.010178,0.024802,0.026945
1994-03,0.008719,0.162997,-0.104805,0.134828,0.04801,-0.010892,0.111636
1994-04,0.008719,-0.038094,-0.16104,0.022628,-0.055022,0.073279,0.062042
1994-05,0.008719,0.039128,-0.067623,-0.007145,-0.037799,0.03775,-0.099231
1994-06,0.008719,0.034068,-0.17205,0.003633,-0.072677,0.084098,0.01067
1994-07,0.008719,-0.058955,-0.280497,-0.04521,0.016578,0.018492,-0.086527
1994-08,0.008719,0.223836,1.165389,0.160197,-0.025569,-0.179923,0.745725
1994-09,0.008719,-0.095222,0.047566,0.058406,0.048219,-0.011723,0.216781
1994-10,0.008719,0.01416,-0.195791,0.037439,0.011896,-0.001549,0.015384
1994-11,0.008719,0.096327,0.033885,-0.004052,0.01038,-0.019011,0.013564
1994-12,0.008719,-0.009777,-0.060005,0.0232,-0.009846,-0.005614,-0.026242
1995-01,0.008719,-0.056249,-0.130143,-0.012222,-0.014865,0.013639,-0.037883
1995-02,0.008719,-0.026294,-0.022566,-0.010733,0.003677,-0.00475,0.00054
1995-03,0.008719,0.158115,0.145686,0.042699,0.018636,-0.008464,-0.062434
1995-04,0.008719,-0.025414,-0.102012,0.000146,0.012102,-0.005984,-0.026063
1995-05,0.008719,0.077,0.178412,0.067586,0.004552,-0.028882,0.01218
1995-06,0.008719,-0.079799,-0.094725,-0.002065,-0.019186,0.013204,-0.012541
1995-07,0.008719,-0.037972,0.087344,-0.000465,0.052611,0.050492,0.019905
1995-08,0.008719,-0.11591,0.042648,-0.047835,0.08733,-0.007633,0.040152
1995-09,0.008719,-0.06838,-0.008043,-0.00735,0.065746,0.022608,0.027706
1995-10,0.008719,0.046448,-0.001814,0.021668,0.042805,0.010927,0.021572
1995-11,0.008719,-0.072671,-0.10446,0.012581,-0.041735,-0.024288,-0.009679
1995-12,0.008719,-0.016227,-0.129789,-0.003,0.003054,-0.022751,-0.001041
1996-01,0.008719,0.083604,-0.040719,-0.004667,0.049638,-0.004895,0.019008
1996-02,0.008719,-0.019799,0.023451,-0.013032,-0.027148,0.019885,-0.013908
1996-03,0.008719,0.034728,0.001504,0.001194,0.00241,0.016645,0.004407
1996-04,0.008719,-0.125478,0.27388,0.071911,0.041303,-0.139193,-0.003834
1996-05,0.007346,0.067877,-0.032156,-0.095177,0.01041,-0.013688,0.010786
1996-06,0.007346,0.096609,0.229366,-0.190335,0.024285,-0.085087,0.065339
1996-07,0.007346,0.088415,0.109613,0.07528,0.095005,-0.032523,0.022291
1996-08,0.006022,0.073168,-0.007437,-0.047512,0.019255,0.020515,-0.038565
1996-09,0.006022,0.019328,0.055783,-0.001827,0.006556,0.009995,-0.042874
1996-10,0.006022,0.020664,0.186237,0.09858,0.042014,-0.070199,0.23475
1996-11,0.006022,0.035253,0.065948,0.046113,0.026416,-0.023921,0.031414
1996-12,0.006022,-0.02702,-0.169819,-0.07109,-0.060057,0.081782,-0.060629
1997-01,0.006022,0.05118,0.061518,0.044222,-4.3e-05,0.015055,-0.009374
1997-02,0.006022,-0.109089,0.052567,0.047318,0.013144,-0.04866,0.020687
1997-03,0.006022,0.01963,0.181683,0.062124,-0.011932,0.049392,-0.083862
1997-04,0.006022,0.049797,0.082898,-0.054415,-0.029758,0.020137,-0.160841
1997-05,0.006022,0.045899,-0.082606,-0.043351,-0.001612,0.048111,-0.02833
1997-06,0.006022,0.126897,-0.006038,0.018631,0.018558,0.050401,-0.053098
1997-07,0.006022,-0.097144,-0.065473,0.046498,0.009491,0.00952,0.024476
1997-08,0.006022,-0.188526,-0.005759,0.010095,0.043016,-0.093319,0.070384
1997-09,0.006022,0.009987,-0.11053,0.016226,0.00094,-0.022854,0.005585
1997-10,0.004606,0.044128,0.128557,-0.042857,-0.016185,0.03957,-0.030605
1997-11,0.004606,0.032748,-0.048203,0.025414,-0.001511,0.000292,-0.013979
1997-12,0.004606,0.074915,0.036372,0.064367,-0.030746,0.056747,-0.055418
1998-01,0.004606,0.01482,0.016078,0.035088,-0.03039,0.012936,-0.005881
1998-02,0.004606,-0.071236,-0.023204,0.023786,0.025788,-0.056487,0.034447
1998-03,0.004249,0.022894,0.020274,0.045661,0.030895,-0.034737,0.058639
1998-04,0.004249,0.018079,0.082372,0.078575,0.01207,0.036078,0.004609
1998-05,0.004249,-0.060739,0.051412,0.088763,0.03119,-0.052702,0.021258
1998-06,0.004249,0.031438,-0.061868,0.017583,0.007329,0.032404,0.012159
1998-07,0.003891,0.00853,-0.017298,0.007991,0.010658,-0.016929,0.016204
1998-08,0.003891,0.07161,-0.130244,0.030961,0.001535,-0.011361,0.007174
1998-09,0.003891,-0.015925,0.077544,0.075118,0.017795,-0.018926,0.030457
1998-10,0.003891,0.024192,-0.015455,0.049076,-0.033952,0.010641,-0.034318
1998-11,0.003891,-0.008703,0.017607,-0.018506,-0.012426,0.023888,-0.014593
1998-12,0.003097,-0.03645,-0.082716,-0.031065,0.005659,0.011393,-0.008019
1999-01,0.003097,0.01488,-0.013157,0.012474,-0.004249,-0.000111,-0.008984
1999-02,0.003097,0.017071,-0.045484,0.009223,0.001414,0.0118,-0.000931
1999-03,0.003097,-0.013292,0.065406,0.053689,0.048532,-0.079778,0.058904
1999-04,0.003097,-0.00044,-0.036154,-0.020314,0.035421,-0.024454,0.011678
1999-05,0.003097,0.052949,0.117587,-0.054665,0.008059,-0.015138,-0.043372
1999-06,0.001856,0.047892,0.33034,-0.052961,-0.104952,0.047764,0.022058
1999-07,0.001856,0.010152,-0.056867,0.021785,0.017845,-0.034506,0.02529
1999-08,0.001856,-0.026663,0.008889,0.053425,0.024785,-0.037304,0.057541
1999-09,0.001856,-0.006611,-0.02968,0.01007,-0.022341,0.011903,-0.01657
1999-10,0.001856,-0.018109,-0.046549,0.02196,0.009352,-0.015226,0.00189
1999-11,0.001856,-0.027316,-0.042826,0.031536,0.01043,-0.01352,0.006362
1999-12,0.001856,0.05035,-0.050078,-0.023239,-0.044088,0.028347,-0.024693
2000-01,0.001856,0.192724,0.135225,-0.005175,-0.104151,0.042289,-0.076779
2000-02,0.001856,0.026084,0.113951,0.032327,-0.002393,-0.011365,0.03855
2000-03,0.001856,-0.092493,0.058133,0.069624,0.01608,-0.051447,0.065904
2000-04,0.001856,-0.052416,0.015578,-0.010779,0.02358,-0.022984,0.00972
2000-05,0.001856,-0.022996,0.027197,0.025777,0.025355,-0.00662,-0.005409
2000-06,0.001856,-0.073843,0.022145,-0.026737,0.032628,0.002911,0.002796
2000-07,0.001856,-0.018187,0.044277,0.017068,0.03052,-0.002764,0.045901
2000-08,0.001856,0.021625,-0.008596,0.042098,-0.017277,-0.032858,0.013269
2000-09,0.001856,0.037318,-0.049773,0.028192,-0.034215,-0.003422,0.011796
2000-10,0.001856,-0.022182,0.023503,0.032889,0.013666,0.001559,0.00692
2000-11,0.001856,-0.016739,0.054628,0.011587,0.025255,0.004336,0.001848
2000-12,0.001856,-0.008051,-0.002537,0.027538,0.013365,0.019526,-0.005541
2001-01,0.001856,-0.019981,-0.009398,-0.009448,0.025946,0.004744,0.006877
2001-02,0.001856,0.014761,-0.059119,-0.012166,0.030485,0.024579,-0.011171
2001-03,0.001856,0.000344,0.07023,0.029589,0.005013,-0.006481,0.003347
2001-04,0.001856,5.7e-05,-0.006892,0.035411,-0.014138,-0.025686,0.010693
2001-05,0.001856,0.023747,0.034948,0.067417,0.002223,-0.02534,0.013096
2001-06,0.001856,-0.003893,0.005902,-0.000522,0.006724,0.009211,0.011929
2001-07,0.001856,0.020971,-0.13411,-0.006747,-0.007594,-0.001881,0.006294
